,accelerator,accleratorDate,startupClassification,startupName,foundedDate,accelaratorResult,city,businessModel,source,state,startupID,dataValidation,incubatorResult,startupStatus,groupClassification,website,description,founderName,investmentStatus,keyword,incubator,ICB_sector,ICB_industry,incubatorDate
"(0, 2)",,,,,,,,,,,,,,,,,,,,,,,,
"(1, 14)",,,,,,,,,,,,,,,,,,,,,,,,
"(2, 19)",,,,,,,,,,,,,,,,,,,,,,,,
"(3, 14)",,,,,,,,,,,,,,,,,,,,,,,,
