S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,groupclassification4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shutdown
69,Deal curry,BelgYum Waffles,2014,Belgyum waffles is an ice-cream place providing waffle ice-creams,Consumer_goods,Food and beverage,Consumer_Products_and_Services,,B2C,Ice-cream producers and sellers,,,Bengaluru,Karnataka,Angel investment,Food Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Deal curry,Bewakoof Brands Private Limited,2015,"Bewakoof, an online apparel startup decides to switch to online destination model",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online destination model,,,Mumbai,Maharashtra,Angel investment,Fashion,,,,,,1,Prabhkiran Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Deal curry,Black White Orange Brands ,2015,"Black White Orange provides merchandising solutions and offer services in retail, distribution, syndication, brand consulting and creative solutions, both within India and overseas. Additionally, Black White Orange will also look at generating new revenue streams and creating brand loyalty strategies.",Consumer_services,Retail,Hyperlocal_and_Logistics,,B2C,Merchandising service providers,"Service providers in retail, distribution",,Mumbai,Maharashtra,Angel investment,Delivery services and logistics,,,,,,1,Bhavik Vora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Deal curry,Blue Box Media Private Limited,2014,"Blue Box Media Pvt. Ltd. Owns and manages two online portals, which are widely read across the nation. A Digital Media start-up from India, striving towards changing India's digital scenario. Blue Box Media currently run 4 popular media properties and continue to strive towards building more.",Technology,Software & Computer Services,Media_Advertising_and_Gaming,,B2C,Digital media,,,Jaipur,Rajasthan,Angel investment,Media,,,,,,2,Pawas Jain,Deepanshu Khandelwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Deal curry,Bluegape Lifestyle Private Limited,2015,Bluegape Lifestyle operates Murmur App which is  an online fan merchandise and customization platform.,Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Online fan merchandise and customization platform,,,Delhi,,Angel investment,Enterprise Software,,,,,,1,Sahil Baghla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Deal curry,Bodhi Health Education Private Limited,2015,Bodhi Health Education has been formed with the mission of “Providing quality medical education.” They feel that healthcare in India can be significantly improved if they can improve the knowledge and awareness among health professionals and community health workers.,Healthcare,Healthcare,Health_Tech,,B2C,Medical education poviders,,,Gurgaon,Haryana,Angel investment,Traditional medical systems,Medical education,,,,,2,Abhinav Girdhar,Shrutika Girdhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Deal curry,Boiban Business Private Limited,2015,Boiban Business Private Limited operates an online food home delivery Website. Its Website offers online food ordering facility by featuring the online menu of various restaurants.,Consumer_services,Retail,Hyperlocal_and_Logistics,,B2C,Food delivery,,,Noida,Uttar Pradesh,Angel investment, Food Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Deal curry,BucketKart,2015,Bucketkart.com is a one-stop-shop for online groceries shopping in Bangalore.,Consumer_goods,Food and beverage,Consumer_Products_and_Services,,B2C,Online grocery store,,,Bengaluru,Karnataka,Angel investment,Food Products,,,,,,4,B k Barnwal,Amit Jha,Shiv Acharya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Deal curry,Buttercups Bras Private Limited,2015,Buttercups Bras is an online shopping place for inner wares and lingerie's,Consumer_goods,personal and household goods,Consumer_Products_and_Services,,B2C,Online Lingerie shop,,,Bengaluru,Karnataka,Angel investment,Clothing & Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Deal curry,Butterfly Interactives ,2014,"Butterfly Interactives Pvt. Ltd. develops and operates an online marketplace for extracurricular activities and hobby sciences. It enables users to pursue a hobbies and activities, such as dance, guitar, gym, painting, tennis and more.",Technology,Software & Computer Services,Consumer_Products_and_Services,,B2C,Online marketplace for recreational services,,,Delhi,,Angel investment,Recreational Services,,,,,,1,Luv Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Deal curry,CanvasFlip Solutions ,2014,"CanvasFlip is fastest growing prototyping suite to create and validate your application design prototypes for your mobile and web applications. An alternative to outdated prototyping solutions like Flinto or Invision, enhanced for creating and validating your design prototypes in minutes. ",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Online platform for user testing on prototypes,,,Bengaluru,Karnataka,Angel investment,Enterprise Software,,,,,,2,Vipul Mishra,Manish Jha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Deal curry,CareerStack Innovations Private Limited,2014,"CareerStack Innovations Pvt. Ltd. operates HackerEarth Recruit, a cloud-based online recruitment solution for technical hiring needs. Its platform enables companies to hire developers and programmers by putting up online programming tests across various programming languages and platforms.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,Software_and_Internet_Services,B2B,Cloud-based online recruitment solution for technical hiring needs,,,Bengaluru,Karnataka,Angel investment,Business Support Services,,Cloud Infrastructure,,,,1,Ankit Appaiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Deal curry,Celerix Technologies Pvt Ltd,2016,Celerix Technologies is a financial technology Product and Services company focused on FPGA-based hardware accelerated technologies.,Technology,Software & Computer Services,Fin_Tech_and_Payments,,B2C,Financial technology Product and Services company,,,Bengaluru,Karnataka,Angel investment,Investment advisory and consultancy and financial consumer services,,,,,,1,Nagesh Kodavali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Deal curry,Cerebrahm Innovations Private Limited,2016,Women and baby care mobile solution which helps parents to keep a track on their health and their child’s health,Healthcare,Healthcare,Health_Tech,,B2C,Wome and baby carre mobile solution,,,Bengaluru,Karnataka,Angel investment,Healthcare Analytics and Software,,,,,,1,Shubashini Subramaniam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Deal curry,Changer Mints ,2014,"Changer Mints Private Limited develops a mobile payment solution. The company offers a changer tag/card that allows users to pay bills through their mobiles at Changer terminals, as well as pay for online shopping.",Technology,Software & Computer Services,Fin_Tech_and_Payments,,B2C,Payments through mobile,,,Bengaluru,Karnataka,Angel investment,Payments and Wallet,,,,,,2,Phanee,Sudanshu Pawar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Deal curry,City Synapse Information Private Limited,2015,City Synapse Information Pvt Ltd. operates an online property and apartment management platform for tenants and apartment owners. Its platform allows tenants to search and book apartments online.,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,Consumer_Products_and_Services,B2C,Online property and apartment management platform,,,Bengaluru,Karnataka,Angel investment,Booking,,Home Improvement Retailers,,,,1,Kailash Rathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Deal curry,Cobboc Private Limited,2014,"Cobboc Pvt. Ltd. develops Eashmart, a mobile payment system that enables users to make card payments via their smartphones.",Financials,Financial services,Fin_Tech_and_Payments,,B2C,Mobile payment system,,,,Uttar Pradesh,Angel investment,Payments and Wallet,,,,,,1,Amit kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Deal curry,CoinMonk Ventures Private Limited,2014,CoinMonk aims to bring bitcoin awareness to the general public. We provide an opportunity to invest in bitcoin and bitcoin mining initiatives. We hold regular meetups for the members of CoinMonk and bitcoin enthusiasts which take place once a month ,Financials,Financial services,Fin_Tech_and_Payments,,B2C,Bitcoin mining start-up,,,Bengaluru,Karnataka,Angel investment,Bitcoin and Blockchain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Deal curry,Commerzpoint Networks Private Limited,2014,"Commerzpoint Networks Pvt. Ltd. operates a healthcare marketplace for retail and corporate customers. The company’s marketplace enables consumers to purchase products directly from healthcare providers, as well as offers planned prepaid surgical, diagnostic, wellness checking, and dental treatments from service providers.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Health care market place,,,Bengaluru,Karnataka,Angel investment,Marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Deal curry,Condivision Solutions Private Limited,2015,"Condivision Solutions Private Limited provides an online platform for connecting renters with owners. It offers rental information for various products, including furniture, electronics and appliances, adventure gear, fancy dress, wedding chairs and tables, medical supplies, bikes and scooters, and other categories",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online platform that connects renters and owners,,,Bengaluru,Karnataka,Angel investment,Online Rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Deal curry,Crayon Data India Private Limited,2015,Cryon data is a big data company to simplify the world’s choices with its proprietary platform - SimplerChoices™.,Technology,Software & Computer Services,Software_and_Internet_Services,,B2C,Big data company,,,,,Angel investment,Big Data Analytics and Machine learning,,,,,,3,Suresh Venugopalan,Srikanth Sastri,Suresh V Shankar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Deal curry,Crenovative Ideas Private Limited,2015,Crenovative Ideas Pvt Ltd (DBA Taskbob) provides instant home services. The company offers servicemen according to the service selected by the customers through its mobile application.,Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Home service providers,,,Mumbai,Maharashtra,Angel investment,Servicing,,,,,,1,Aseem Khare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Deal curry,Cryptopy Technologies Private Limited,2014,Cryptopy Technologies Pvt. Ltd. operates an online portal that enables people to find roommates and flats for rent.,Technology,Software & Computer Services,Social_Platforms,,B2C,Online platform to find rooms for rent,,,Bengaluru,Karnataka,Angel investment,Website for information,,,,,,2,Prateek Shukla,Pankhuri Shrivastava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Deal curry,Cubito,2015,"Cubito provides a tool to organize, automate and scale bulk transportation logistics.",Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Bulk transporatation logistics,,,Bengaluru,Karnataka,Angel investment,Delivery services and logistics,Transportation Services,,,,,2,Yash Patodia,Pranay Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Deal curry,Cue Learn Private Limited,2015,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Technology,Software & Computer Services,Edu_Tech,,B2C,Online mathematics class,,,Bengaluru,Karnataka,Angel investment,Online courses and resources,,,,,,1,Manan Khurma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Deal curry,Curiositi Learning Solutions Private Limited,2014,Curiositi Learning Solutions makes the students learn easily and practically through their education kits,Technology,Software & Computer Services,Edu_Tech,,B2C,Education kit providers,,,Bengaluru,Karnataka,Angel investment,Educational products and Services,,,,,,2,Vinod Abraham,Monoj Thandassery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Deal curry,Daily Rounds,2015,"DailyRouds. is a mobile app exclusively for Doctors. Medical Schools, Physician & Surgeon societies and individual Doctors can publish clinical cases, articles and images after peer review. The app offers doctor analytics, sentiments and sponsored case studies for the pharma and medical devices industry.",Healthcare,Healthcare,Health_Tech,,B2B2C,App for doctors to publish their clinical cases,,,Bengaluru,Karnataka,Angel investment,Healthcare Analytics and Software,,,,,,3,Priyaank Choubey,Nimmi Cherian,Deepu Sebin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Deal curry,DealWithUs,2015,"Dealwithus is a cashback web platform. It allows users to find cashback offers from various e-commercial websites. Its platform allows vendors to connect with customers, as well as provides cashback offers on various online purchases.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Cashback web platform,,,,,Angel investment,Coupons and Deals,,,,,,1,Kamal Kishor Kumawat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Deal curry,Demach Software India Private Limited,2014,Demach Software India Private Limited develops mobile applications under different products including Konotor.,Technology,Software & Computer Services,Technology_,,B2C,Mobile application developers,,,Chennai,Tamil Nadu,Angel investment,Internet of things infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Deal curry,Digital E-Life Private Limited,2014,"Digital E-Life Pvt. Ltd. operates an online shopping portal for personal products in India. It offers lingerie, costumes, accessories, and hygiene and sensual products for women, innerwear, condoms, and hygiene and sensual products for men, and lotions, fun items, and books.",Consumer_goods,personal and household goods,Consumer_Products_and_Services,,B2C,Online shopping potal for personal products,,,Mumbai,Maharashtra,Angel investment,Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Deal curry,Digital Food Talk Private Limited,2015,"Digital Food Talk Pvt. Ltd. operates an invite-only social food community where members come together to read and share genuine food experiences via real time recommendations. Its community also provides corporate event curation, team building concept, event menu curation, marketing plan etc.",Technology,Software & Computer Services,Social_Platforms,,B2C,Invite only social food community,,,Gurgaon,Haryana,Angel investment,Connect People for Social Activities,,,,,,2,Shuchir Suri,Anjali Batra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Deal curry,Doormint,2014,"Doormint's key differentiation of a branded service nature that takes full responsibility for service delivery and customer satisfaction along with convenient and superior product offerings such as one-touch home services to eliminate calling, upfront pricing and post service warranty",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Utility services,Household solutions,,Mumbai,Maharashtra,Angel investment,Utility services,Servicing,,,,,2,Abhinav Agarwal,Naman Lahoty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Deal curry,DOS Interactive ,2014,A platform for women shoppers to discover curated designs in fashion & lifestyle across online/offline and for small & niche sellers to help build their brands.,Consumer_services,Retail,Internet_marketplace_and_eCommerce,,B2C,Women's fashion and lifestyle,,,Mumbai,Maharashtra,Angel investment,Fashion,,,,,,1,Vishaka Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Deal curry,Dreamz Mynewcar India Private Limited,2015,"Dreamz Mynewcar India Private Limited owns and operates an online portal for buying new cars, accessories, and related services. It offers sedans, van-mini-vans, SUV-MUVs, coupes, convertibles, station wagons, and hatch backs. The company also provides multi brand car leasing and car loan services.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online portal for buying cars,,,Mumbai,Maharashtra,Angel investment,Car Motorbike Industrial,,,,,,1,Madhukar Manpuria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Deal curry,DSM Fresh Foods ,2015,"DSM Fresh Foods Pvt Ltd. sells raw meat and ready to eat meat products online. It offers chicken, eggs, fish, mutton, organic chicken, and pork.",Consumer_goods,Food and beverage,Hyperlocal_and_Logistics,,B2C,Online sellers of ready to eat and raw meat,,,Gurgaon,Haryana,Angel investment, Food Products,,,,,,1,Deepanshu Manchanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Deal curry,Dsyn Technologies Private Limited,2014,"DSYN Technologies Pvt. Ltd., also known as Appiterate, develops a mobile marketing automation platform for native mobile apps. Its platform allows app publishers to carry out targeted in-app messaging and push campaigns to segment users behaviorally, and A/B test and iteratively optimize designs/UX and see real time conversion metrics.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2C,Mobile marketing automation platform,,,Gurgaon,Haryana,Angel investment,Enterprise Software,,,,,,4,Tanuj Mendiratta,Anuj Bhargva,Mayank Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Deal curry,Dyulok Technologies Private Limited,2015,Dyulok Technologies Private Limited operates an online do-it-yourself event ticketing and registration platform that allows users to create events and sell event tickets online.,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Event ticketing and registeration platform,,,Pune,Maharashtra,Angel investment,Buy and Sale goods and products,,,,,,2,Sachi Sharma,Sanchit Malik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Deal curry,e Health Access Private Limited,2014,E Health Access is an online platform that offers telemedicine services to assist non-emergency conditions.,Healthcare,Healthcare,Health_Tech,,B2C,Telemedicine services,,,Hyderabad,Andhra Pradesh,Angel investment,Telemedicine and Online health care platforms,,,,,,2,Ram Prabhu,Jayadeep Reddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Deal curry,EatShopLove,2014,Eatshoplove is a fashion e-commerce company that offers travel and beauty services for women.,Consumer_services,Retail,Internet_marketplace_and_eCommerce,,B2C,Travel and beauty services,,,Bengaluru,Karnataka,Angel investment,Fashion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Deal curry,Eazycoach Educational Solutions ,2016,"EazyCoach helps students make it to their dream college anywhere around the world by helping them explore and compare colleges and directly interact with their admission committee members (for free), current students and alumni of that particular college (via paid sessions).",Technology,Software & Computer Services,Edu_Tech,,B2C,Platform for students to make it to their dream college,,,Kolkata,West Bengal,Angel investment,Educational products and Services,,,,,,1,Om Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Deal curry,Edsix Brain Lab Private Limited,2015,Edsix Brain Lab is an edutainment industry providing  online puzzles in their website,Technology,Software & Computer Services,Edu_Tech,,B2C,Edutainment industry,,,Chennai,Tamil Nadu,Angel investment,Online courses and resources,,,,,,3,Parimala Vageesan,Saravanan Sundaramoorthy,Kalpana Murthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Deal curry,Educommerce Technologies ,2014,"EduCommerce Technologies Pvt. Ltd. operates and provides a mobile technology platform for institutions. It offers myly, a cloud based communication and transaction platform for institutions that offers communication, transaction, and various value-added services to institutions and parents.",Technology,Software & Computer Services,Edu_Tech,,B2B,Mobile technology platform for institutions,,,Jaipur,Rajasthan,Angel investment,IT and Mobile solutions for Education delivery,,,,,,2,Gaurav Mundra,Madhup Bansal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Deal curry,Edunetwork Private limited,2016,"Edunetwork Pvt. Ltd. is an online rental company that operates a furniture rental Website. The company offers online rental services for bedroom, living room, dining room, and study room furniture, appliances, including LED TVs, front load washing machines, automatic washing machines, single and double door fridges, microwave ovens, irons, and vacuum cleaners, kitchen and home utility products.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online rental company,,,Bengaluru,Karnataka,Angel investment,Online Rental,,,,,,2,Geetansh Bamania,Ajay Nain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Deal curry,Eduvision Retail Technologies Private Limited,2015,"EduVision Retail Technologies Pvt. Ltd. sells academic books and supplies online. The company offers text books, stationery, bags, bottles, lunch boxes, sports, games, digital learning products, uniforms, and merchandize, and files folders, sticky notes, sharpeners, erasers, calculators, exam pads etc.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online suppy of books and stationery,,,Noida,Uttar Pradesh,Angel investment,Books and Stationery,,,,,,2,Gaurav Krishna Barman,Geetanjali Khanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Deal curry,Egg Communications Private Limited.,2015,Egg Communication Pvt. Ltd. owns and operates eattreatonline.com which is an online food community.,Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Online food community,,,Delhi,,Angel investment, Food Products,,,,,,1,Arjun Swahney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Deal curry,Elanic Services Private Limited,2015,Elanic is a social peer-to-peer marketplace for pre-owned items in India. Elanic is a Bangalore-based Fashion startup and enable everyday users to sell to anyone across the country in the easiest possible manner.,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online fashion start-up,,,Bengaluru,Karnataka,Angel investment,Fashion,,,,,,3,Abhilash Narahari,Palkush Rai Chawla,Aditi Rohan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Deal curry,Emtex Engineering Private Limited,2015,"Emtex Engineering PVT. Ltd. provides industrial supplies online and offline in India. Its portfolio includes abrasives, adhesives, sealants and tapes, automotive maintenance products and accessories, bearings, fasteners, fuel handling and lubricating equipment etc.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,Industrial product suppliers,,,Delhi,,Angel investment,Industrial Suppliers,,,,,,1,Swati Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Deal curry,EmVito Technoogies Private Limited,2014,Emvito Technologies Private Limited provides a weekly subscription service that enables customers to order food online. Its Website allows customers to select the dishes they like and specify the delivery time.,Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Food delivery,,,Bengaluru,Karnataka,Angel investment, Food Products,,,,,,1,Prateek Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Deal curry,Entropy Innovations Private Limited,2015,"Entropy Innovations Pvt. Ltd. is an engineering innovations company. The team, alumni of IIT & IIM, has designed and manufactured automatic motorcycle wash machine – ‘Express Bike Wash’ that addresses multitude of problems faced by an individual owner as well as a service station. The machine is capable of washing even the dirtiest of motorcycle within 2-5 minutes. ",Technology,Software & Computer Services,Technology_,,B2C,Engineering innovation company,,,Mumbai,Maharashtra,Angel investment,Advanced Materials,,,,,,3,Ragavendra Bhushan Karn,Jigar Vora,Niraj Taksande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Deal curry,Eventus Software Services Private Limited,2014,"Eventus is a young company started by professionals with extensive experience in IT services, product development, event management and hospitality. Our mission is to provide the most optimal technology to make event and conference management painless and ensure success of events of all sizes.",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Event management,Hospitality,Product Development,,,Angel investment,Event Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Deal curry,Evobi Automations Private Limited,2015,"Evobi Automations Private Limited provides a tool that gives a practical exposure to science, technology, engineering, arts, and mathematics to students. It offers BiBox, a programmable electronic platform that brings together technology, creative content, and delivery mechanisms for students to put together their ideas into actions.",Technology,Software & Computer Services,Edu_Tech,,B2C,Online education technology service provider,,,Bengaluru,Karnataka,Angel investment,Online courses and resources,,,,,,1,Sandeep Senan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
