S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,groupclassification4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shutdown
13,Deal curry,Accentium Web Private Limited,2014,Accentium Web Pvt Ltd is a young and dynamic Internet company in India with a competent business and technical in the Consumer Internet space in India.,Technology,Software & Computer Services,Software_and_Internet_Services,,B2C,Internet company,,,Gurgaon,Haryana,Angel investment,Enterprise Software,,,,,,4,Bharanidharan Viswanathan,Vivek Pahwa,Ankur Warikoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Deal curry,Ada News In Shorts Private Limited,2014,description not available,,,,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Deal curry,Addazz Online Services Private Limited,2016,"Addazz Online Services (P) Ltd. operates Picsdream, an online photographer community and marketplace for photographers to share, showcase, and monetize their photos.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online photographer community,,,Delhi,,Angel investment,Buy and Sale goods and products,,,,,,1,Mahesh Nair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Deal curry,AdPushup Software India Private Limited,2014,"AdPushup Software India Private Limited provides conversion rate optimization and automatic A/B testing solutions for increasing advertisement revenue from Website. It offers AdPushup, a tool which helps online publishers optimize advertisement revenues.",Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2B,A tool to optimize advertisement revenue,,,Delhi,,Angel investment,Business Support Services,,,,,,2,Ankit Oberoi,Atul Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Deal curry,AdWyze Inc,2015,Building a digital marketing automation and optimisation platform for Enterprise and SME advertisers.,Industrials,Industrial goods and services,Media_Advertising_and_Gaming,Industrial_and_Business_Products_and_Services,B2B,Digital marketing automation and optimisation platform,,,Bengaluru,Karnataka,Angel investment,Advertising,,Business Support Services,,,,2,Arun Srinivasan ,Ankur Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Deal curry,Aeon Learning Private Limited,2016,Aeon learning is an online education technology service provider,Technology,Software & Computer Services,Edu_Tech,,B2C,Online education technology service provider,,,Bengaluru,Karnataka,Angel investment,Online or other forms of student support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Deal curry,Allizhealth,2015,"AllizHealth builds a consumer-focused wellness and health analytics platform for identification, tracking, and management of health risks.",Healthcare,Healthcare,Health_Tech,,B2C,Health analytics platform,,,Pune,Maharashtra,Angel investment,Healthcare Analytics and Software,,,,,,1,Chinmoy Mishra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Deal curry,AlmaMapper Technologies ,2014,"AlmaMapper Technologies Pvt. Ltd. creates products to provide a seamless ecosystem that can solve everyday problems of the students with the efficient use of technology. The company aims at making lives of students easier by connecting them with the best teachers, campuses, counselors and service providers across the globe.",Technology,Software & Computer Services,Edu_Tech,,B2C,"Connecting students with teachers, counselors, campuses etc.",,,Pune,Maharashtra,Angel investment,Social platforms for Educational sector,,,,,,2,Chandra Sharma ,Pankaj Kaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Deal curry,Alpinismo Online Ventures Private Limited,2014,description not available,,,,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Deal curry,Altiux Innovations Private Limited,2014,"Altiux Innovations is an end-to-end Product Engineering, Outsourced Product Development and Innovation services company.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Product engineering,Out sourced product development,,Bengaluru,Karnataka,Angel investment,Internet and software development,,,,,,2,Shyam Vedantam,Sunil Motaparti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
