source,startupName,ICB_industry,ICB_sector,startupClassification,foundedDate,Repition,investorName,Age,Investor City,Domestic Investor,1,2,linkedinURL,Education (Field),Education 2 (Field),Education (place),Education 2 (place),Professional Experience,Sector,"Match (city) (718/2783,0.282 with dom & no blank)","Match (city) (718/2454,0.257 with dom & no blank)",Region,"Match (region)(455/1273),.357","Match(region)(455/1397),0.325",State,"Match (210/1273),0.17, (210/1397),0.15",State/Region,"Match (304/1273),0.24 (304/1397),0.217",Age,Sector,investorType,Investor Nationality Domestic / Foreign / Angel),Deal Investment Amount ( $ M),dealInvestmentAmount,"Deal Investment Amount ( INR M)
{ In Base Year Amount }",Round Investment Amount ($ M),roundInvestmentAmount,"Round Investment Amount (INR M)
{ In Base Year Amount }",investmentStage,stageClassification,roundDate,Closing Date of Investment,Percentage Equity Stake by the Investor,Percentage Equity Stake in the round,Equity Valuation ($ M),equityValuation,"Equity Valuation (INR M)  
{ In Base Year Amount }",city,Region,state,State (n),companyWebsite,Financial Year,Revenue Multiple,EBITDA Multiple,PAT Multiple,Share Capital ($ M),Share Capital (INR M),"Share Capital (INR M) 
{ In Base Year Amount }",Reserves ($ M),Reserves (INR M),"Reserves (INR M)  
{ In Base Year Amount }",Shareholders Funds ($ M),Shareholders Funds (INR M),"Shareholders Funds (INR M)  
{ In Base Year Amount }",Long Term Debt ($ M),Long Term Debt (INR M),"Long Term Debt (INR M)  
{ In Base Year Amount }",Short Term Debt ($ M),Short Term Debt (INR M),"Short Term Debt (INR M)  
{ In Base Year Amount }",Current Liabilities ($ M),Current Liabilities (INR M),"Current Liabilities (INR M)  
{ In Base Year Amount }",Equity and Liabilities ($ M),Equity and Liabilities (INR M),"Equity and Liabilities (INR M)  
{ In Base Year Amount }",Fixed Assets ($ M),Fixed Assets (INR M),"Fixed Assets (INR M)  
{ In Base Year Amount }",Current Investments ($ M),Current Investments (INR M),"Current Investments (INR M)  
{ In Base Year Amount }",Inventories ($ M),Inventories (INR M),"Inventories (INR M)  
{ In Base Year Amount }",Receivables ($ M),Receivables (INR M),"Receivables (INR M)  
{ In Base Year Amount }",Cash and Bank Balances ($ M),Cash and Bank Balances (INR M),"Cash and Bank Balances (INR M)  
{ In Base Year Amount }",Loans and Advances ($ M),Loans and Advances (INR M),"Loans and Advances (INR M)  
{ In Base Year Amount }",Other Current Assets ($ M),Other Current Assets (INR M),"Other Current Assets (INR M)  
{ In Base Year Amount }",Total Assets ($ M),Total Assets (INR M),"Total Assets (INR M)  
{ In Base Year Amount }",Total Reserves ($ M),Total Reserves (INR M),"Total Reserves (INR M)  
{ In Base Year Amount }",Gross Profit ($ M),Gross Profit (INR M),"Gross Profit (INR M)  
{ In Base Year Amount }",EBITDA ($ M),EBITDA (INR M),"EBITDA (INR M)  
{ In Base Year Amount }",Depreciation ($ M),Depreciation (INR M),"Depreciation (INR M)  
{ In Base Year Amount }",EBITA ($ M),EBITA (INR M),"EBITA (INR M)  
{ In Base Year Amount }",EBIT ($ M),EBIT (INR M),"EBIT (INR M)  
{ In Base Year Amount }",Finance Costs ($ M),Finance Costs (INR M),"Finance Costs (INR M)  
{ In Base Year Amount }",PBT ($ M),PBT (INR M),"PBT (INR M)  
{ In Base Year Amount }",Tax ($ M),Tax (INR M),"Tax (INR M)  
{ In Base Year Amount }",PAT ($ M),PAT (INR M),"PAT (INR M)  
{ In Base Year Amount }",EV / Total Income ($ M),EV / Total Income (INR M),"EV / Total Income (INR M)  
{ In Base Year Amount }",EV / EBITDA ($ M),EV / EBITDA (INR M),"EV / EBITDA (INR M)  
{ In Base Year Amount }",EV / EBIT ($ M),EV / EBIT (INR M),"EV / EBIT (INR M)  
{ In Base Year Amount }",EV / Total Assets ($ M),EV / Total Assets (INR M),"EV / Total Assets (INR M)  
{ In Base Year Amount }",EV / Profit Before Tax ($ M),EV / Profit Before Tax (INR M),"EV / Profit Before Tax (INR M)  
{ In Base Year Amount }",EV / Profit After Tax ($ M),EV / Profit After Tax (INR M),"EV / Profit After Tax (INR M)  
{ In Base Year Amount }",Implied Enterprise Value ($ mn),Implied Enterprise Value (INR mn),"Implied Enterprise Value (INR mn)  
{ In Base Year Amount }",Rep,Concatenate,double,con,double2,diff.year,Time Interval,CPI,repe,Concatenate_startup,,,Base Year,Base Year CPI
VCC,Fourth Partner Energy Pvt. Ltd.,Technology,Technology Hardware & Equipment,Others,2010,3,Abdul Qadir Abdul Rahman Buhari,,Chennai,Yes,New York,61,https://in.linkedin.com/in/abdulqadirbuhari,,,,,,,FALSE,,Chennai,FALSE,,,,,,,,Angel,Angel,,,,0.35,21.35964117,20.25961965,Seed,Pre-Seed,07-04-2014,8/21/2014, ,16.99029126,2.06,125.7167451,119.2423328,Pune,Pune,,,http://www.fourthpartner.co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.307692308,79.80525271,75.69528219,,,,0.031860066,1.944341625,1.844208031,,,,,,,,,,,,,35.26470588,2152.118467,2041.284366,,,, ,,,1.56,95.20297205,90.30001899,64.03,3907.593782,3706.352703,71.94,4390.321673,4164.220107,5.95,363.1138998,344.413534,71.94,4390.321673,4164.220107,,,,2.04,124.4961942,118.0846402,10,Fourth Partner Energy Pvt. Ltd.Abdul Qadir Abdul Rahman Buhari21.3596411652542,1,Fourth Partner Energy Pvt. Ltd.Abdul Qadir Abdul Rahman Buhari21.359641165254241824,1,0,0,0,,,,,,
VCC,Fourth Partner Energy Pvt. Ltd.,Technology,Technology Hardware & Equipment,Technology,2010,3,Abdul Qadir Abdul Rahman Buhari,,Chennai,Yes,Singapore,60,https://in.linkedin.com/in/abdulqadirbuhari,,,,,,,FALSE,,Chennai,FALSE,,,,,,,,Angel,Angel,,,,2,122.0550924,115.7692551,Venture Capital,Seed,07-04-2014,8/21/2014, , ,,,,Pune,Pune,,,http://www.fourthpartner.co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,10,Fourth Partner Energy Pvt. Ltd.Abdul Qadir Abdul Rahman Buhari122.055092372881,1,Fourth Partner Energy Pvt. Ltd.Abdul Qadir Abdul Rahman Buhari122.05509237288141824,1,311,311,311,,,,,,
VCC,Cloudcherry Analytics Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2013,3,Abdul Qadir Abdul Rahman Buhari,,Chennai,Yes,Hong Kong,19,https://in.linkedin.com/in/abdulqadirbuhari,,,,,,,TRUE,,Chennai,TRUE,,,,,,,,Angel,Angel,,,,0.61,39.13301437,39.13301437,Seed,Seed,05-11-2015,07-11-2015, , ,,,,Chennai,Chennai,,,http://www.getcloudcherry.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,17,Cloudcherry Analytics Pvt. Ltd.Abdul Qadir Abdul Rahman Buhari39.1330143692946,1,Cloudcherry Analytics Pvt. Ltd.Abdul Qadir Abdul Rahman Buhari39.133014369294642135,1,-192,,,,,,,,
Deal Curry,ZoomCar India Private Limited,Consumer services,Travel and Leisure,Consumer Products and Services,2012,2,Abhay Jain,,Bengaluru,Yes,Pennsylvania,5,https://www.linkedin.com/pub/dir/Abhay/Jain,,,,,,,TRUE,,Bengaluru,TRUE,,,,,,,,Angel,Angel,,,,7.98,486.9998186,461.9193279,Series A,Series B,10/31/2014,, , ,,,,Bengaluru,Bengaluru,,,,2014,,,,0.10118398,6.17501,5.856996985,0.465308959,28.396664,26.9342358,0.566492939,34.571674,32.79123279,0.734421385,44.819935,42.51170835,,,,0.460561857,28.10696,26.65945156,1.919964251,117.170707,111.1364156,1.370832193,83.658525,79.35011096,,,,,,,0.001374379,0.083875,0.079555438,0.209272383,12.77138,12.11365393,,,,0.003045002,0.185829,0.176258807,1.919964235,117.170706,111.1364146,0.343662351,20.97287,19.8927672,,,,,,,,,,,,,,,,,,,,,,0.136458772,8.327744,7.898865184,,,,,,,,,,,,,,,,,,,,,,,,,5,ZoomCar India Private LimitedAbhay Jain486.999818567796,1,ZoomCar India Private LimitedAbhay Jain486.99981856779641943,1,255,255,255,,,,,,
VCC,Rejuvenate Solutions Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2014,2,Abhay Jain,,Bengaluru,Yes,Zurich,5,https://in.linkedin.com/in/abhay-kumar-jain-a022a015,,,,,,,FALSE,,Bengaluru,FALSE,,,,,,,,Angel,Angel,,,,1.51,96.87024868,96.87024868,Venture Capital,Seed,7/13/2015,7/28/2015, ,33.40707965,4.52,289.9692212,289.9692212,Mumbai,Mumbai,,,http://www.zimmber.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047583484,3.052598659,3.052598659,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,93.73,6013.012192,6013.012192,,,,,,,76.45,4904.457293,4904.457293,,,,,,,4.46,286.1200723,286.1200723,12,Rejuvenate Solutions Pvt. Ltd.Abhay Jain96.8702486846473,1,Rejuvenate Solutions Pvt. Ltd.Abhay Jain96.870248684647342198,1,-847,,,,,,,,
VCC,Digital E-Life Pvt. Ltd.,Consumer services,Retail ,Internet Marketplace and eCommerce,2012,1,Abhay Rajaram Bhalerao,,California,No,Boston,4,https://www.linkedin.com/in/abhayrajaram,,,,,,,FALSE,,California,FALSE,,,,,,,,Angel,Angel,0.003333333,0.195429344,0.176996074,0.01,0.586288033,0.530988221,Seed,Pre-Seed,3/18/2013,3/18/2013,5.555555556,6.666666667,0.06,3.517728197,3.185929327,Mumbai,Mumbai,,,http://www.thatspersonal.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,6,Digital E-Life Pvt. Ltd.Abhay Rajaram Bhalerao0.586288032786885,1,Digital E-Life Pvt. Ltd.Abhay Rajaram Bhalerao0.58628803278688541351,1,713,,,,,,,,
VCC,Razorpay Software Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2013,3,Abhay Singhal,,Mumbai,Yes,Chicago,2,https://in.linkedin.com/in/abhay-singhal-3635423,,,,,,,FALSE,,Mumbai,FALSE,,,,,,,,Angel,Angel,,,,2.5,160.3812064,160.3812064,Seed,Series A,03-01-2015,3/23/2015, , ,,,,Bengaluru,Bengaluru,,,http://razorpay.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,12,Razorpay Software Pvt. Ltd.Abhay Singhal160.381206431535,1,Razorpay Software Pvt. Ltd.Abhay Singhal160.38120643153542064,1,351,351,351,,,,,,
VCC,RentSher Online Rentals Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2015,3,Abhay Singhal,,Mumbai,Yes,Dallas,1,https://in.linkedin.com/in/abhay-singhal-3635423,,,,,,,FALSE,,Mumbai,FALSE,,,,,,,,Angel,Angel,,,,,,,Seed,,2/15/2016,2/15/2016, , ,,,,Bengaluru,Bengaluru,,,http://www.rentsher.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,6,RentSher Online Rentals Pvt. Ltd.Abhay Singhal,1,RentSher Online Rentals Pvt. Ltd.Abhay Singhal42415,1,21,21,21,,,,,,
VCC,Wooplr Technologies Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2011,3,Abhay Singhal,,Mumbai,Yes,Toronto,1,https://in.linkedin.com/in/abhay-singhal-3635423,,,,,,,FALSE,,Mumbai,FALSE,,,,,,,,Angel,Angel,,,,,,,,,03-07-2016,03-07-2016, , ,,,,Bengaluru,Bengaluru,,,http://www.wooplr.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,6,Wooplr Technologies Pvt. Ltd.Abhay Singhal,1,Wooplr Technologies Pvt. Ltd.Abhay Singhal42436,1,-670,,,,,,,,
VCC,Anameha Infomedia Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2014,1,Abhijeet Pai,,Hyderabad,Yes,,,https://in.linkedin.com/in/abhijeetpai,,,,,,,TRUE,,Hyderabad,TRUE,,,,,,,,Angel,Angel,0.03,1.830826386,1.736538827,0.06,3.661652771,3.473077653,Seed,Pre-Seed,05-07-2014,11/13/2014,13.63636364,27.27272727,0.22,13.42606016,12.73461806,Hyderabad,Hyderabad,,,https://www.wedmegood.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,0.22,13.42606016,12.73461806,2,Anameha Infomedia Pvt. Ltd.Abhijeet Pai3.66165277118644,1,Anameha Infomedia Pvt. Ltd.Abhijeet Pai3.6616527711864441766,1,358,,,,,,,,
