ICB_industry,ICB_sector,accelaratorResult,accelerator,accleratorDate,businessModel,city,companyWebsite,dealInvestmentAmount,description,equityValuation,foundedDate,founderName,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,stageClassification,startupClassification,startupName,startupStatus,state
Healthcare,Healthcare,,,,,Hyderabad,,,"Aayuv Technologies Pvt., Ltd. operates an online and offline medical record hosting, retrieval, and health tracking Website.",,1970-01-01 00:00:00.000002014,,"['Telemedicine and Online health care platforms', nan, nan]",,,,,[nan],,"['O2O Health care providers', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",keyur,,"['Health_Tech', nan]",AAYUV TECHNOLOGIES . ,Angel investment,Andhra Pradesh
Consumer_goods,Personal and household goods,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Consumer Products and Services', nan]",ABC HOME TEXTILES,Angel investment,
Consumer_services,Retail,,,,B2C,Bengaluru,,,AbeRuk works as a marketplace in the fragmented Used Books market.,,,,"['Books and Stationary', nan, nan]",,,,,['SWASTIKA'],,"['Books market', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000042552'), NaT, NaT]","[nan, nan, nan]","[1.0, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Internet marketplace and eCommerce', nan]",ABERUK,Angel investment,Karnataka
Consumer_services,Travel and Leisure,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Consumer Products and Services', nan]",ABHISHEK PATIL,Angel investment,
,,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Health-Tech', nan]",ABN DRUGS,Angel investment,
Technology,Software & Computer Services,,,,B2C,Bengaluru,,,"Acadgild is technical and business course provider, offers mentor-led online courses to help professionals upskill.",,1970-01-01 00:00:00.000002014,,"['Online courses and resources', nan, nan]",,,,,['GROWTHSTORY'],,"['Online courses', 'Business course', nan]",,"[Timestamp('1970-01-01 00:00:00.000042005'), NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Edu-Tech', nan]",ACADGILD,Angel investment,Karnataka
Consumer_goods,Personal and household goods,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Consumer Products and Services', nan]",ACDC COMMERCE  (NAMAKH),Angel investment,
Consumer_goods,Automobile and parts,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Consumer Products and Services', nan]",ACRIOLIS INDIA MOTORS,Angel investment,
Consumer_goods,personal and household goods,,,,B2C,,,,ActivityHero is a one-stop shop to find and book kids after-school activities and summer camps. ActivityHero enables users to register their children in multiple programmes with one common app.,,1970-01-01 00:00:00.000002014,,"['Books and Stationary', nan, nan]",,,,,[nan],,"['Books market', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Internet marketplace and eCommerce', nan]",ACTIVITY HERO,,
Technology,Software & Computer Services,,,,B2C,Bengaluru,,,"ActOnMagic helps you to achieve infinite scale on any cloud without infinite cost. ActOnCloud is an Intelligent Cloud Essentials Platform to manage, optimize, scale Any cloud, Multi Cloud or Hybrid Cloud environments. ",,1970-01-01 00:00:00.000002014,,"['Cloud Infrastructure', nan, nan]",,,,,['JAYABALAN SUBRAMANIAN'],,"['Cloud based platform', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000042401'), NaT, NaT]","[nan, nan, nan]","[1.0, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Software and Internet Services', nan]",ACTONMAGIC,,Karnataka
