startupName,founderName,website,city
BARODA TAXI CABS,"['PANKAJ GANDHI', 'VIVEK KEJRIWAL', 'DEVANG SANGHVI']",http://oneway.cab/,Vadodara
BAXI,"['MANU RANA', 'ASHUTOSH JOHRI']",http://www.baxi.taxi/,Gurgaon
BEACONSTALK TECHNOLOGIES,['ASHISH KUMAR'],,Mumbai
BEACONSTALK,['ASHISH KUMAR'],,Mumbai
BEARDO,['PRIYANK SHAH'],http://www.beardo.in/,Ahmedabad
BELITA,"['AKSHAY JAIN', 'GARIMA JAIN']",http://belitaindia.com,Mumbai
BELONG,"['SUDHEENDRA CHILAPPAGARI', 'SAITEJA VEERA', 'VIJAY SHARMA', 'RISHABH KAUL']",https://belong.co/,Bangalore
BETAOUT INC,"['ARJUN MAHEWSHWARI', 'ANKIT MAHESHWARI', 'ARJUN MAHESHWARI', 'MAYANK DHINGRA', 'NANDINI RATHI', 'RAGHUBIR THAKUR']",http://www.betaout.com,New York
BETAOUT,"['ARJUN MAHEWSHWARI', 'ANKIT MAHESHWARI', 'ARJUN MAHESHWARI', 'MAYANK DHINGRA', 'NANDINI RATHI', 'RAGHUBIR THAKUR']",http://www.betaout.com,New York
BETTERBUTTER,['NIYAZ LAIQ'],http://www.betterbutter.in/,Delhi
BEWAKOOF,['PRABHKIRAN SINGH'],http://www.bewakoof.com/,Mumbai
BEWO,[],http://www.bewotechno.com/about_us.html,Bangalore
BHIVE WORKSPACE,"['SHESH PAPLIKAR', 'PRASHANT REDDY', 'MONNAPPA BAYAVANDA', 'RAVINDRA M.K', 'SRIDHAR VENKATARAMAN']",http://www.bhiveworkspace.com,Bangalore
BIGBASKET,"['HARI MENON', 'V.S. SUDHAKAR', 'ABHINAY CHOUDHARI']",http://bigbasket.com,Bangalore
BIGFOOT RETAIL SOLUTIONS,['SAAHIL GOEL'],https://www.kartrocket.com,
BIMADIRECT,"['CHAITANYA REDDY', 'SRINIVAS MADHAVAM', 'PRASHANT PATALAY']",http://vdeliver.in/,Hyderabad
BIRA 91,['ANKUR JAIN'],http://www.bira91.com/,New Delhi
BISKO LABS,[],,Kochi
BISKO-LABS,[],,Kochi
BITE CLUB,"['PRATEEK AGARWAL', 'SIDDHARTH SHARMA', 'PRATEEK AGARWAL', 'AUSHIM KRISHAN']",http://www.biteclub.in,Gurgaon
BITGIVING,"['FAHAD MOTI KHAN', 'ISHITA ANAND', 'ISHITA ANAND']",http://www.bitgiving.com,Delhi
BITNOMIX TECHNOLOGIES,"['MUTHUSAMY SADAIAPPAN', 'ARAVIND SADAIAPPAN', 'UMESH FERNANDO']",https://www.beinge.com,Chennai
BLACKCOTTON SOLUTIONS,[],,Mumbai
BLINGE,"['SHASHWAT GOPAL', 'POOJA DUBEY', 'SHIKHAR KHANNA']",http://www.blinge.in,Mumbai
BLOOMSKART RETAIL,['VISHWAS SHRINGI'],http://www.voylla.com,Jaipur
BLUBOX,"['DIPTI SINGLA', 'HARISH SINGLA']",http://blubox.in/index.html,Andheri
BLUE BOX MEDIA,"['PAWAS JAIN', 'DEEPANSHU KHANDELWAL']",http://www.blueboxmedia.co,Jaipur
BLUEGAPE,['SAHIL BAGHLA'],http://www.bluegape.com,New Delhi
BLUETURTLEBIO TECHNOLOGIES,"['NILESH JOSHI', 'ADHAM ALJAHMI']",http://blueturtlebio.com/,San Francisco
BODHI HEALTH EDUCATION,"['ABHINAV GIRDHAR', 'SHRUTIKA GIRDHAR']",http://www.bodhihealthedu.org/,Gurgaon
BOLLANT INDUSTRIES,['SRIKANTH BOLLA'],http://www.bollant.com,Hyderabad
BONHOMIA,"['TUHIN JAIN', 'KUNAL BHAGAT']",http://boho.bonhomiaworld.com/,Delhi
BOOKADSPACE DOTCOM,['PRAYAAG KASUNDRA'],http://www.bookadspace.com/,Ahmedabad
BOOKADSPACE,['PRAYAAG KASUNDRA'],http://www.bookadspace.com/,Ahmedabad
BOOKEVENTZ,['SHRITI JAIN'],http://www.bookeventz.com/,Mumbai
BOOKMYCAB,['AVINASH GUPTA'],http://bookmycab.com,Mumbai
BOOKYOURGAME,"['DEVI BISWAL', 'AVIJEET ALAGATHI']",http://www.byg.co.in/,Bangalore
BOOKYOURGYM FITNESS,"['DEVI BISWAL', 'AVIJEET ALAGATHI']",http://www.byg.co.in/,Bangalore
BOUNTY APP,['SATISH MEDAPATI'],http://bountyapp.in,Bangalore
BOUNTY,['SATISH MEDAPATI'],http://bountyapp.in,Bangalore
BOXMYSPACE,['PRATYUSH JALAN'],http://boxmyspace.com/,Mumbai
BRIGGE TECH,['PRASANNA JAGANNATHAN'],http://www.brigge.co/,Chennai
BROEX,"['MUKUL BHATI', 'PALLAV PANDEY']",http://broex.in/,Haryana
BROWNTAPE,"['GURPREET SINGH', 'PIYUSH GOEL']",http://browntape.com,Goa
BUILDWEALTH TECHNOLOGIES,"['AMIT MONDAL', 'BALAJI KOUSTUBHA', 'SOMIT SRIVASTAVA', 'MOHIT SHAH', 'ADITYA AGARWAL', 'TARUN KHERA', 'PRASHANT GUPTA']",https://www.wealthy.in,Bangalore
BURGER SINGH,"['KABIR JEET SINGH', 'RAHUL SETH', 'NITIN RANA']",http://burgersinghonline.com/,Gurgaon
BUTTER,"['DUNCAN MCLAREN', 'KELSEY GREENBERG', 'DAN FLANEGAN']",http://www.getbutter.me/iphone,Encinitas
CABSGURU,"['VIKASH SINGH', 'PULKIT AHUJA']",http://cabsguru.com/,New Delhi
CANVERA DIGITAL TECHNOLOGIES,"['PEEYUSH RAI', 'DHIRAJ KACKER']",http://canvera.com,Bangalore
CAPABILITI,"['SACHIN GROVER', 'MRIGANK TRIPATHI']",http://www.qustn.com,Palo Alto
CAPRICOAST HOME SOLUTIONS,['JAWAD AYAZ'],http://www.capricoast.com/,Bangalore
CARAVAN,['KUNAL SACHDEV'],http://caravancraft.com,Bangalore
CARDBACK,"['NIDHI GURNANI', 'NIKHIL WASON']",http://cardback.in,New Delhi
CAREERSTACK INNOVATIONS,[],http://www.dfizz.com/,
CAREONGO,"['YOGESH AGARWAL', 'ADITYA KANDOI', 'RITU SINGH']",http://www.careongo.com,Delhi
CARSINGH,[],http://www.carsingh.com,Bangalore
CARVENICHE TECHNOLOGIES,"['AVNEET MAKKAR', 'SARASWATHY A']",http://carveniche.com/,Bangalore
CBREX,"['GAUTAM SINHA', 'ANAND KARUNJAY']",http://www.cbr.exchange/,Mumbai
CENTERAC EMARKET PLACES,[],http://www.enterworks.com/,Sterling
CEREBRAHM INNOVATIONS,['SUBHASHINI SUBRAMANIAM'],http://www.cerebrahm.com,Bangalore
CHAAYOS,['NITIN SALUJA'],http://www.chaayos.com/,New Delhi
